Iteration result of potential using 2D relaxation method

Parameters : 
x \in [0.00000000e+000, 1.00000000e+002], y \in [0.00000000e+000, 1.00000000e+002]
Boundary value : all 0 
n_x = 100, n_y = 100, max_dif_tar = 1.00000001e-010

iterations = 12056

       x             y           f(x)       
3.00000000e+000 7.50000000e+001 -3.56331702e-006
3.00000000e+000 7.60000000e+001 -3.42997305e-006
3.00000000e+000 7.70000000e+001 -3.29484078e-006
3.00000000e+000 7.80000000e+001 -3.15812440e-006
3.00000000e+000 7.90000000e+001 -3.02001422e-006
3.00000000e+000 8.00000000e+001 -2.88068804e-006
3.00000000e+000 8.10000000e+001 -2.74030799e-006
3.00000000e+000 8.20000000e+001 -2.59902413e-006
3.00000000e+000 8.30000000e+001 -2.45697129e-006
3.00000000e+000 8.40000000e+001 -2.31427202e-006
3.00000000e+000 8.50000000e+001 -2.17103593e-006
3.00000000e+000 8.60000000e+001 -2.02735941e-006
3.00000000e+000 8.70000000e+001 -1.88332774e-006
3.00000000e+000 8.80000000e+001 -1.73901446e-006
3.00000000e+000 8.90000000e+001 -1.59448280e-006
3.00000000e+000 9.00000000e+001 -1.44978594e-006
3.00000000e+000 9.10000000e+001 -1.30496846e-006
3.00000000e+000 9.20000000e+001 -1.16006572e-006
3.00000000e+000 9.30000000e+001 -1.01510659e-006
3.00000000e+000 9.40000000e+001 -8.70112615e-007
3.00000000e+000 9.50000000e+001 -7.25099540e-007
3.00000000e+000 9.60000000e+001 -5.80078392e-007
3.00000000e+000 9.70000000e+001 -4.35055711e-007
3.00000000e+000 9.80000000e+001 -2.90034848e-007
3.00000000e+000 9.90000000e+001 -1.45016557e-007
3.00000000e+000 1.00000000e+002 0.00000000e+000
4.00000000e+000 0.00000000e+000 0.00000000e+000
4.00000000e+000 1.00000000e+000 -1.93468537e-007
4.00000000e+000 2.00000000e+000 -3.86939746e-007
4.00000000e+000 3.00000000e+000 -5.80415247e-007
4.00000000e+000 4.00000000e+000 -7.73894385e-007
4.00000000e+000 5.00000000e+000 -9.67373467e-007
4.00000000e+000 6.00000000e+000 -1.16084425e-006
4.00000000e+000 7.00000000e+000 -1.35429298e-006
4.00000000e+000 8.00000000e+000 -1.54769975e-006
4.00000000e+000 9.00000000e+000 -1.74103661e-006
4.00000000e+000 1.00000000e+001 -1.93426763e-006
4.00000000e+000 1.10000000e+001 -2.12734631e-006
4.00000000e+000 1.20000000e+001 -2.32021603e-006
4.00000000e+000 1.30000000e+001 -2.51280790e-006
4.00000000e+000 1.40000000e+001 -2.70504120e-006
4.00000000e+000 1.50000000e+001 -2.89681975e-006
4.00000000e+000 1.60000000e+001 -3.08803465e-006
4.00000000e+000 1.70000000e+001 -3.27855923e-006
4.00000000e+000 1.80000000e+001 -3.46825254e-006
4.00000000e+000 1.90000000e+001 -3.65695405e-006
4.00000000e+000 2.00000000e+001 -3.84448776e-006
4.00000000e+000 2.10000000e+001 -4.03065587e-006
4.00000000e+000 2.20000000e+001 -4.21524510e-006
4.00000000e+000 2.30000000e+001 -4.39801852e-006
4.00000000e+000 2.40000000e+001 -4.57872284e-006
4.00000000e+000 2.50000000e+001 -4.75708384e-006
4.00000000e+000 2.60000000e+001 -4.93280822e-006
4.00000000e+000 2.70000000e+001 -5.10558311e-006
4.00000000e+000 2.80000000e+001 -5.27507882e-006
4.00000000e+000 2.90000000e+001 -5.44094746e-006
4.00000000e+000 3.00000000e+001 -5.60282842e-006
4.00000000e+000 3.10000000e+001 -5.76034518e-006
4.00000000e+000 3.20000000e+001 -5.91311255e-006
4.00000000e+000 3.30000000e+001 -6.06073445e-006
4.00000000e+000 3.40000000e+001 -6.20281025e-006
4.00000000e+000 3.50000000e+001 -6.33893160e-006
4.00000000e+000 3.60000000e+001 -6.46869375e-006
4.00000000e+000 3.70000000e+001 -6.59168791e-006
4.00000000e+000 3.80000000e+001 -6.70751479e-006
4.00000000e+000 3.90000000e+001 -6.81577876e-006
4.00000000e+000 4.00000000e+001 -6.91609876e-006
4.00000000e+000 4.10000000e+001 -7.00810460e-006
4.00000000e+000 4.20000000e+001 -7.09144842e-006
4.00000000e+000 4.30000000e+001 -7.16580189e-006
4.00000000e+000 4.40000000e+001 -7.23086396e-006
4.00000000e+000 4.50000000e+001 -7.28636223e-006
4.00000000e+000 4.60000000e+001 -7.33205798e-006
4.00000000e+000 4.70000000e+001 -7.36775019e-006
4.00000000e+000 4.80000000e+001 -7.39327788e-006
4.00000000e+000 4.90000000e+001 -7.40852556e-006
4.00000000e+000 5.00000000e+001 -7.41342137e-006
4.00000000e+000 5.10000000e+001 -7.40794667e-006
4.00000000e+000 5.20000000e+001 -7.39212646e-006
4.00000000e+000 5.30000000e+001 -7.36603943e-006
4.00000000e+000 5.40000000e+001 -7.32980743e-006
4.00000000e+000 5.50000000e+001 -7.28360055e-006
4.00000000e+000 5.60000000e+001 -7.22762479e-006
4.00000000e+000 5.70000000e+001 -7.16212844e-006
4.00000000e+000 5.80000000e+001 -7.08738662e-006
4.00000000e+000 5.90000000e+001 -7.00371038e-006
4.00000000e+000 6.00000000e+001 -6.91142850e-006
4.00000000e+000 6.10000000e+001 -6.81089796e-006
4.00000000e+000 6.20000000e+001 -6.70248664e-006
4.00000000e+000 6.30000000e+001 -6.58658155e-006
4.00000000e+000 6.40000000e+001 -6.46357148e-006
4.00000000e+000 6.50000000e+001 -6.33385798e-006
4.00000000e+000 6.60000000e+001 -6.19783896e-006
4.00000000e+000 6.70000000e+001 -6.05591640e-006
4.00000000e+000 6.80000000e+001 -5.90848776e-006
4.00000000e+000 6.90000000e+001 -5.75594686e-006
4.00000000e+000 7.00000000e+001 -5.59868022e-006
4.00000000e+000 7.10000000e+001 -5.43706483e-006
4.00000000e+000 7.20000000e+001 -5.27146767e-006
4.00000000e+000 7.30000000e+001 -5.10224299e-006
4.00000000e+000 7.40000000e+001 -4.92973004e-006
4.00000000e+000 7.50000000e+001 -4.75425395e-006
4.00000000e+000 7.60000000e+001 -4.57612259e-006
4.00000000e+000 7.70000000e+001 -4.39562700e-006
4.00000000e+000 7.80000000e+001 -4.21304048e-006
4.00000000e+000 7.90000000e+001 -4.02861770e-006
