Discrete Fourier Transform of sunspots

  k         Re(c_k)          Im(c_k)     
  521      -916.494507      -127.586403
  522      -287.015228      -828.361938
  523       204.989120      -574.685852
  524      -173.177811      -469.843567
  525      1280.481079       256.631226
  526      -227.238205       703.860168
  527       558.893372       814.491028
  528       433.624084       297.287628
  529      -174.108292         4.008548
  530      -174.405777      -155.419754
  531       902.513916      -264.950745
  532      -101.508224      -978.817261
  533       637.270325      -740.006714
  534      -104.791664     -1178.980835
  535       310.759949       -89.218224
  536      -246.871002        59.254841
  537       225.901245        90.802444
  538       465.834564       887.098267
  539        16.583313       713.236267
  540      -129.238892       329.563660
  541        43.716351      -296.887115
  542       579.675781      1014.225037
  543      -621.789917      -183.429703
  544      1292.569580       477.121063
  545      -658.023865       -25.072029
  546       359.731934      -674.588684
  547        56.958401       339.369537
  548       -64.034721      -291.795868
  549      -315.093384       358.393372
  550      -185.721329        41.765244
  551      -605.653320       319.139343
  552      -225.056503      -251.939041
  553       264.981750       280.378052
  554      -191.514450      -364.706696
  555      -614.304199      1239.033447
  556      -354.459991      -302.263336
  557      1199.515625      -385.383881
  558       -76.280151     -1007.103882
  559      -813.451599      -800.474060
  560       248.610840      -749.580444
  561       457.432373       -77.260452
  562      -817.414673       246.255371
  563       394.433990       235.435089
  564      -286.815186      1067.602905
  565      -270.021515       234.923401
  566      -949.878296      1222.752319
  567       740.017090      -972.871216
  568       381.219849      -150.282501
  569       352.850800      -195.901596
  570      -219.541687       219.960709
  571      -127.822464       835.859314
  572      -131.637482       845.785950
  573       453.586914       235.931381
  574        35.754662       -28.864079
  575      -615.238342        43.425209
  576       736.641296       -71.805382
  577      -196.977554       -97.946999
  578        75.438118      -280.316711
  579      -322.348755     -1153.560913
  580       -50.754604      -431.067566
  581      -299.008301      1123.424927
  582       559.073853       245.210083
  583       687.808655       -65.265381
  584      -709.222595       250.163971
  585      -341.662567       277.648376
  586      1019.415527     -1000.046936
  587       665.325684      -511.343018
  588      -752.941833      -665.643250
  589       625.365540       803.700317
  590     -1179.027466       354.910919
  591      -621.336609       -45.999088
  592       966.140625       976.445007
  593      -149.768616       -57.747749
  594       497.852234     -1255.347168
  595       694.628479       649.206543
  596      -445.453613       612.460938
  597       303.213501       196.579239
  598       501.701630      1572.022461
  599       331.897003       420.017944
  600       -55.100681      -273.550049
  601       -72.680603      -126.403893
  602       -58.456089      -812.405579
  603       -17.494169     -1107.821655
  604       -34.619797      -992.471436
  605       -33.517273      -209.822372
  606      -807.144409       334.665833
  607       490.177948      1782.326782
  608       -36.594170       399.145294
  609      -345.794830       345.544952
  610       380.260986       849.712097
  611      1035.933960       911.306885
  612       718.822754     -1303.080811
  613     -1018.340881      -766.682434
  614     -1270.524414       126.401306
  615       918.674438      -260.023468
  616      -417.738892       909.942139
  617     -1298.648315       136.298355
  618      1683.170532       249.079681
  619       144.342499       419.634888
  620       -32.697739       103.300545
  621       949.500366        34.974480
  622        67.157883      1023.669067
  623        -3.218304       -63.291050
  624      -332.922211      -229.872360
  625     -1112.468994      -245.452179
  626      -231.566849       690.832275
  627      -318.214844        43.075603
  628       860.257141      -417.143738
  629      -402.286926     -1023.663879
  630       405.914368      -280.148834
  631      -573.772522       906.811646
  632      -254.218704       366.665833
  633       648.862915      1351.874268
  634       663.830994      1352.412964
  635        -7.885333      1420.170044
  636       287.884369       627.034241
  637       701.281372       731.674622
  638       -93.607101     -1108.671875
  639        16.606731      -405.990082
  640      -332.573486       146.654465
  641       869.209290      -534.246582
  642      -233.936249      -804.186157
  643       316.568756       547.508484
  644       159.121719      -448.933960
  645      -319.292175       837.202393
  646       577.198120       373.694458
  647      -508.801544       746.555847
  648       -49.064682      -743.351929
  649      -265.778656     -1132.611816
  650     -1200.056641       226.487747
  651      -620.773926       556.270935
  652        94.900536      -893.445313
  653        89.746407        96.943314
  654      -634.844299       234.903534
  655      -683.621460       606.761414
  656       806.935059       797.006958
  657        18.467346      -470.382690
  658      -153.868988       835.622437
  659       256.371979       520.354797
  660       799.580627       629.175415
  661      -286.675110       517.983337
  662      -446.714691        55.668476
  663     -1422.133057       353.091156
  664      -266.629211      -660.752747
  665      -429.982086        81.321861
  666       979.570679       193.098587
  667       565.153870     -1127.981567
  668       956.604126       -98.320602
  669       126.350937       459.699799
  670      -153.509735      1330.482910
  671      -122.197121      -546.822876
  672     -1388.220825       440.130951
  673      -689.920654       641.945679
  674      -195.937988      -351.363098
  675      -767.340149      -673.824463
  676       856.938843       294.856262
  677       224.307755       422.140167
  678      -234.435928       403.343964
  679        49.562008       973.173950
  680      -758.287231      1146.874756
  681      -241.872055       822.806335
  682      -934.855591       775.962219
  683       337.811554       280.058746
  684       438.577362       732.067688
  685       122.287498      -229.370819
  686      -255.647873      -235.829071
  687       -42.468971       -66.644592
  688       -56.201511       261.117126
  689      -422.761200      -442.583466
  690     -1006.244141       452.260803
  691       820.251770      -625.973938
  692       244.938644      -266.908264
  693      -503.406586      -564.921265
  694      -547.091003      -161.988083
  695      1000.786316       667.421143
  696       317.075562       735.232361
  697      -705.390991      -881.326111
  698      -953.311340       516.027039
  699     -1184.251831       179.273453
  700      -308.686462      -546.456665
  701      -367.929993      -697.645813
  702       510.221313      -291.725342
  703      -551.607056      1334.026245
  704       205.138046       165.989365
  705      -189.821655       627.415039
  706      -358.208801      -258.552826
  707     -1249.125977       517.007996
  708       112.747856       168.709763
  709       112.626900      -492.816559
  710        81.255455      -331.752289
  711       332.003052      -462.743286
  712       403.454315       873.413147
  713      1504.410522      -530.689331
  714      -669.199707      -102.361237
  715       -96.974213      -534.520203
  716       -11.824839       174.583008
  717      -707.051208      -533.364197
  718      -105.689171      -674.721252
  719      -445.356079         6.259229
  720      -824.842468      -223.483398
  721        15.985797      -313.113098
  722      -616.217651      -344.183624
  723     -1229.534058        17.470318
  724      -605.131348       764.135193
  725      -235.970398      -439.811066
  726      -381.115570       297.395294
  727      -916.669312      -234.032913
  728       237.466614      -370.943146
  729      -100.900047       -87.510330
  730       145.432602      1068.765503
  731      -120.612099       596.113159
  732         7.886789      1526.579224
  733       587.462036       745.563110
  734      -168.537415      -965.430420
  735        -9.713004      -133.237610
  736       457.291351      -845.404236
  737       223.368164       450.320374
  738      -365.046356       482.012451
  739       246.357697      -374.236633
  740      -102.029228       721.898682
  741       753.268860       345.224854
  742       221.166275      -253.425232
  743      -790.994751      -212.019638
  744      -232.940079      -693.952454
  745      -481.472321      -310.514801
  746      -846.528870      -304.532806
  747      -194.645233      -305.804443
  748      -342.279541      -625.903137
  749      -696.652405       442.188324
  750      -164.512024       253.952957
  751       874.268982        83.466537
  752      -535.378296        12.305824
  753         9.681950      -789.464111
