Correlation function xi(r) calculated from lcdm_z0.matter_pk within r = [0.000000, 120.000000]

r : scale; xi_1 : integral between 0 and k_min; xi_2 : integral within data range; xi_3 : integral from k_max to +INF

    r        xi_1         xi_2         xi_3          xi       r^2*xi_2      r^2*xi
  0.00 -1.#IND00e+000 -1.#IND00e+000 -1.#IND00e+000 -1.#IND00e+000 -1.#IND00e+000 -1.#IND00e+000
 12.60 8.354775e-012 3.581678e-001 1.025064e-003 3.591928e-001 5.686272e+001 5.702546e+001
 12.70 8.354775e-012 3.537653e-001 2.761382e-004 3.540415e-001 5.705881e+001 5.710335e+001
 12.80 8.354775e-012 3.496695e-001 -6.985114e-004 3.489709e-001 5.728985e+001 5.717540e+001
 12.90 8.354775e-012 3.449998e-001 -1.010275e-003 3.439895e-001 5.741141e+001 5.724329e+001
 13.00 8.354775e-012 3.395087e-001 -3.981944e-004 3.391105e-001 5.737697e+001 5.730968e+001
 13.10 8.354775e-012 3.337839e-001 5.549266e-004 3.343388e-001 5.728066e+001 5.737589e+001
 13.20 8.354775e-012 3.286886e-001 9.761302e-004 3.296647e-001 5.727069e+001 5.744077e+001
 13.30 8.354775e-012 3.245705e-001 5.008201e-004 3.250713e-001 5.741327e+001 5.750186e+001
 13.40 8.354775e-012 3.209609e-001 -4.131801e-004 3.205477e-001 5.763174e+001 5.755755e+001
 13.50 8.354775e-012 3.170199e-001 -9.251739e-004 3.160947e-001 5.777688e+001 5.760826e+001
 13.60 8.354775e-012 3.123077e-001 -5.839163e-004 3.117238e-001 5.776443e+001 5.765643e+001
 13.70 8.354775e-012 3.071686e-001 2.758003e-004 3.074444e-001 5.765247e+001 5.770424e+001
 13.80 8.354775e-012 3.023953e-001 8.599652e-004 3.032553e-001 5.758817e+001 5.775194e+001
 13.90 8.354779e-012 2.984952e-001 6.477645e-004 2.991430e-001 5.767226e+001 5.779741e+001
 14.00 8.354779e-012 2.952382e-001 -1.449779e-004 2.950932e-001 5.786668e+001 5.783826e+001
 14.10 8.354779e-012 2.918845e-001 -7.830643e-004 2.911014e-001 5.802956e+001 5.787388e+001
 14.20 8.354779e-012 2.878671e-001 -6.929347e-004 2.871741e-001 5.804551e+001 5.790579e+001
 14.30 8.354779e-012 2.833007e-001 2.258524e-005 2.833233e-001 5.793216e+001 5.793678e+001
 14.40 8.354779e-012 2.788557e-001 6.970238e-004 2.795528e-001 5.782352e+001 5.796806e+001
 14.50 8.354779e-012 2.751348e-001 7.202834e-004 2.758551e-001 5.784709e+001 5.799853e+001
 14.60 8.354779e-012 2.721269e-001 8.983292e-005 2.722168e-001 5.800658e+001 5.802573e+001
 14.70 8.354779e-012 2.692330e-001 -6.042677e-004 2.686287e-001 5.817856e+001 5.804798e+001
 14.80 8.354779e-012 2.658230e-001 -7.309015e-004 2.650921e-001 5.822587e+001 5.806578e+001
 14.90 8.354779e-012 2.618077e-001 -1.910685e-004 2.616166e-001 5.812393e+001 5.808151e+001
 15.00 8.354779e-012 2.577033e-001 5.071465e-004 2.582105e-001 5.798324e+001 5.809735e+001
 15.10 8.354779e-012 2.541465e-001 7.260646e-004 2.548726e-001 5.794795e+001 5.811350e+001
 15.20 8.354779e-012 2.513120e-001 2.801931e-004 2.515922e-001 5.806313e+001 5.812787e+001
 15.30 8.354779e-012 2.487660e-001 -4.078549e-004 2.483581e-001 5.823363e+001 5.813815e+001
 15.40 8.354778e-012 2.458732e-001 -7.071962e-004 2.451660e-001 5.831127e+001 5.814356e+001
 15.50 8.354778e-012 2.423788e-001 -3.565969e-004 2.420222e-001 5.823151e+001 5.814584e+001
 15.60 8.354778e-012 2.386277e-001 3.084105e-004 2.389361e-001 5.807243e+001 5.814749e+001
 15.70 8.354778e-012 2.352359e-001 6.758370e-004 2.359117e-001 5.798329e+001 5.814988e+001
 15.80 8.354778e-012 2.325232e-001 4.199519e-004 2.329432e-001 5.804710e+001 5.815194e+001
 15.90 8.354778e-012 2.302299e-001 -2.106567e-004 2.300193e-001 5.820442e+001 5.815117e+001
 16.00 8.354778e-012 2.277654e-001 -6.336261e-004 2.271318e-001 5.830795e+001 5.814574e+001
 16.10 8.354778e-012 2.247529e-001 -4.701588e-004 2.242828e-001 5.825821e+001 5.813634e+001
 16.20 8.354778e-012 2.213638e-001 1.162778e-004 2.214800e-001 5.809471e+001 5.812523e+001
 16.30 8.354778e-012 2.181488e-001 5.822059e-004 2.187310e-001 5.795996e+001 5.811465e+001
 16.40 8.354778e-012 2.155274e-001 5.073709e-004 2.160348e-001 5.796825e+001 5.810471e+001
 16.50 8.354778e-012 2.134096e-001 -2.669890e-005 2.133829e-001 5.810075e+001 5.809348e+001
 16.60 8.354778e-012 2.112884e-001 -5.232516e-004 2.107652e-001 5.822264e+001 5.807845e+001
 16.70 8.354778e-012 2.087109e-001 -5.319266e-004 2.081790e-001 5.820738e+001 5.805903e+001
 16.80 8.354778e-012 2.056858e-001 -5.682103e-005 2.056289e-001 5.805274e+001 5.803671e+001
 16.90 8.354778e-012 2.026654e-001 4.584178e-004 2.031238e-001 5.788326e+001 5.801419e+001
 17.00 8.354778e-012 2.001226e-001 5.443742e-004 2.006669e-001 5.783543e+001 5.799275e+001
 17.10 8.354778e-012 1.981203e-001 1.332186e-004 1.982535e-001 5.793236e+001 5.797132e+001
 17.20 8.354778e-012 1.962636e-001 -3.893300e-004 1.958742e-001 5.806261e+001 5.794744e+001
 17.30 8.354778e-012 1.940677e-001 -5.454170e-004 1.935222e-001 5.808250e+001 5.791927e+001
 17.40 8.354778e-012 1.914005e-001 -2.016792e-004 1.911989e-001 5.794843e+001 5.788737e+001
 17.50 8.354778e-012 1.885938e-001 3.175422e-004 1.889113e-001 5.775685e+001 5.785410e+001
 17.60 8.354778e-012 1.861305e-001 5.358414e-004 1.866663e-001 5.765578e+001 5.782176e+001
 17.70 8.354778e-012 1.842012e-001 2.615300e-004 1.844627e-001 5.770840e+001 5.779034e+001
 17.80 8.354778e-012 1.825384e-001 -2.445312e-004 1.822938e-001 5.783545e+001 5.775798e+001
 17.90 8.354778e-012 1.806675e-001 -5.166021e-004 1.801509e-001 5.788768e+001 5.772215e+001
 18.00 8.354778e-012 1.783437e-001 -3.123453e-004 1.780314e-001 5.778336e+001 5.768216e+001
 18.10 8.354778e-012 1.757680e-001 1.717011e-004 1.759398e-001 5.758337e+001 5.763963e+001
 18.20 8.354778e-012 1.733950e-001 4.887201e-004 1.738837e-001 5.743535e+001 5.759723e+001
 18.30 8.354778e-012 1.715121e-001 3.538212e-004 1.718660e-001 5.743769e+001 5.755618e+001
 18.40 8.354778e-012 1.699828e-001 -1.003107e-004 1.698825e-001 5.754937e+001 5.751540e+001
 18.50 8.354778e-012 1.683789e-001 -4.532691e-004 1.679256e-001 5.762766e+001 5.747254e+001
 18.60 8.354778e-012 1.663751e-001 -3.858528e-004 1.659892e-001 5.755913e+001 5.742564e+001
 18.70 8.354778e-012 1.640432e-001 3.155306e-005 1.640747e-001 5.736427e+001 5.737530e+001
 18.80 8.354778e-012 1.617772e-001 4.113800e-004 1.621886e-001 5.717852e+001 5.732392e+001
 18.90 8.354773e-012 1.599275e-001 4.084986e-004 1.603360e-001 5.712771e+001 5.727363e+001
 19.00 8.354773e-012 1.584834e-001 3.354491e-005 1.585170e-001 5.721252e+001 5.722463e+001
 19.10 8.354773e-012 1.570892e-001 -3.642087e-004 1.567250e-001 5.730773e+001 5.717486e+001
 19.20 8.354773e-012 1.553752e-001 -4.219480e-004 1.549533e-001 5.727753e+001 5.712199e+001
 19.30 8.354773e-012 1.532933e-001 -9.405082e-005 1.531992e-001 5.710020e+001 5.706517e+001
 19.40 8.354773e-012 1.511540e-001 3.129050e-004 1.514669e-001 5.688833e+001 5.700609e+001
 19.50 8.354773e-012 1.493364e-001 4.265363e-004 1.497629e-001 5.678517e+001 5.694736e+001
