Gradient descent of (x-2)^2+(y-2)^2

gamma = 1.000000e-002, epsilon = 1.000000e-007

      x            y          f(x,y)     
1.999834e+000 1.999917e+000 3.463778e-008
1.999837e+000 1.999918e+000 3.326262e-008
1.999840e+000 1.999920e+000 3.195342e-008
1.999843e+000 1.999922e+000 3.068919e-008
1.999846e+000 1.999923e+000 2.948708e-008
1.999850e+000 1.999925e+000 2.830899e-008
1.999853e+000 1.999926e+000 2.719005e-008
1.999856e+000 1.999928e+000 2.611092e-008
1.999858e+000 1.999929e+000 2.508740e-008
1.999861e+000 1.999931e+000 2.408434e-008
1.999864e+000 1.999932e+000 2.313416e-008
1.999867e+000 1.999933e+000 2.221901e-008
1.999869e+000 1.999935e+000 2.135347e-008
1.999872e+000 1.999936e+000 2.050513e-008
1.999874e+000 1.999937e+000 1.970389e-008
1.999877e+000 1.999938e+000 1.891863e-008
1.999879e+000 1.999940e+000 1.816370e-008
1.999882e+000 1.999941e+000 1.745231e-008
1.999884e+000 1.999942e+000 1.675512e-008
1.999887e+000 1.999943e+000 1.609919e-008
1.999889e+000 1.999944e+000 1.545637e-008
1.999891e+000 1.999946e+000 1.483961e-008
1.999893e+000 1.999947e+000 1.426088e-008
1.999895e+000 1.999948e+000 1.369365e-008
1.999897e+000 1.999949e+000 1.313794e-008
1.999900e+000 1.999950e+000 1.261768e-008
1.999902e+000 1.999951e+000 1.211966e-008
1.999904e+000 1.999952e+000 1.163167e-008
1.999905e+000 1.999953e+000 1.117624e-008
1.999907e+000 1.999954e+000 1.072991e-008
1.999909e+000 1.999955e+000 1.029267e-008
1.999911e+000 1.999956e+000 9.885710e-009
1.999913e+000 1.999956e+000 9.497356e-009
1.999915e+000 1.999957e+000 9.116789e-009
1.999916e+000 1.999958e+000 8.763948e-009
1.999918e+000 1.999959e+000 8.418070e-009
1.999920e+000 1.999960e+000 8.079155e-009
1.999921e+000 1.999961e+000 7.765976e-009
1.999923e+000 1.999961e+000 7.458993e-009
1.999924e+000 1.999962e+000 7.167230e-009
1.999926e+000 1.999963e+000 6.881294e-009
1.999927e+000 1.999964e+000 6.618507e-009
1.999929e+000 1.999964e+000 6.360835e-009
1.999930e+000 1.999965e+000 6.108280e-009
1.999932e+000 1.999966e+000 5.860841e-009
1.999933e+000 1.999966e+000 5.634504e-009
1.999934e+000 1.999967e+000 5.412630e-009
1.999936e+000 1.999968e+000 5.195218e-009
1.999937e+000 1.999968e+000 4.989786e-009
1.999938e+000 1.999969e+000 4.788504e-009
1.999939e+000 1.999970e+000 4.605823e-009
1.999941e+000 1.999970e+000 4.426695e-009
1.999942e+000 1.999971e+000 4.251120e-009
1.999943e+000 1.999971e+000 4.079098e-009
1.999944e+000 1.999972e+000 3.910628e-009
1.999945e+000 1.999973e+000 3.758771e-009
1.999946e+000 1.999973e+000 3.609927e-009
1.999947e+000 1.999974e+000 3.470362e-009
1.999948e+000 1.999974e+000 3.333554e-009
1.999949e+000 1.999975e+000 3.199503e-009
1.999950e+000 1.999975e+000 3.080018e-009
1.999951e+000 1.999976e+000 2.962807e-009
1.999952e+000 1.999976e+000 2.847869e-009
1.999953e+000 1.999977e+000 2.735206e-009
1.999954e+000 1.999977e+000 2.624816e-009
1.999955e+000 1.999977e+000 2.516700e-009
1.999956e+000 1.999978e+000 2.410857e-009
1.999957e+000 1.999978e+000 2.317535e-009
1.999958e+000 1.999979e+000 2.226059e-009
1.999959e+000 1.999979e+000 2.136431e-009
1.999959e+000 1.999980e+000 2.053469e-009
1.999960e+000 1.999980e+000 1.972154e-009
1.999961e+000 1.999980e+000 1.892488e-009
1.999962e+000 1.999981e+000 1.814470e-009
1.999963e+000 1.999981e+000 1.746983e-009
1.999963e+000 1.999982e+000 1.680775e-009
1.999964e+000 1.999982e+000 1.615845e-009
1.999965e+000 1.999982e+000 1.552195e-009
1.999966e+000 1.999983e+000 1.489823e-009
1.999966e+000 1.999983e+000 1.428731e-009
1.999967e+000 1.999983e+000 1.368917e-009
1.999968e+000 1.999984e+000 1.310383e-009
1.999968e+000 1.999984e+000 1.260673e-009
1.999969e+000 1.999984e+000 1.211930e-009
