Gradient descent of Schechter

gamma = 1.000000e-004, epsilon = 2.000000e-007

   log(phi*)      log(M*)       alpha        chi^2     
-2.568325e+000 1.097630e+001 -1.009497e+000 2.908067e+000
-2.568322e+000 1.097629e+001 -1.009494e+000 2.908068e+000
-2.568320e+000 1.097629e+001 -1.009492e+000 2.908068e+000
-2.568317e+000 1.097629e+001 -1.009490e+000 2.908067e+000
-2.568315e+000 1.097629e+001 -1.009488e+000 2.908068e+000
-2.568313e+000 1.097629e+001 -1.009485e+000 2.908068e+000
-2.568311e+000 1.097629e+001 -1.009483e+000 2.908067e+000
-2.568309e+000 1.097629e+001 -1.009481e+000 2.908067e+000
-2.568307e+000 1.097628e+001 -1.009479e+000 2.908068e+000
-2.568305e+000 1.097628e+001 -1.009477e+000 2.908068e+000
-2.568303e+000 1.097628e+001 -1.009475e+000 2.908067e+000
-2.568301e+000 1.097628e+001 -1.009473e+000 2.908066e+000
-2.568299e+000 1.097628e+001 -1.009471e+000 2.908066e+000
-2.568297e+000 1.097628e+001 -1.009470e+000 2.908067e+000
-2.568295e+000 1.097628e+001 -1.009468e+000 2.908067e+000
-2.568294e+000 1.097628e+001 -1.009466e+000 2.908067e+000
-2.568292e+000 1.097628e+001 -1.009464e+000 2.908066e+000
-2.568290e+000 1.097627e+001 -1.009463e+000 2.908067e+000
-2.568288e+000 1.097627e+001 -1.009461e+000 2.908067e+000
-2.568287e+000 1.097627e+001 -1.009460e+000 2.908066e+000
-2.568285e+000 1.097627e+001 -1.009458e+000 2.908066e+000
-2.568284e+000 1.097627e+001 -1.009457e+000 2.908066e+000
-2.568282e+000 1.097627e+001 -1.009455e+000 2.908066e+000
-2.568280e+000 1.097627e+001 -1.009454e+000 2.908067e+000
-2.568279e+000 1.097627e+001 -1.009452e+000 2.908065e+000
-2.568278e+000 1.097627e+001 -1.009451e+000 2.908065e+000
-2.568276e+000 1.097626e+001 -1.009449e+000 2.908066e+000
-2.568275e+000 1.097626e+001 -1.009448e+000 2.908065e+000
-2.568274e+000 1.097626e+001 -1.009447e+000 2.908066e+000
-2.568272e+000 1.097626e+001 -1.009445e+000 2.908066e+000
-2.568271e+000 1.097626e+001 -1.009444e+000 2.908066e+000
-2.568270e+000 1.097626e+001 -1.009443e+000 2.908066e+000
-2.568268e+000 1.097626e+001 -1.009442e+000 2.908065e+000
-2.568267e+000 1.097626e+001 -1.009440e+000 2.908067e+000
-2.568266e+000 1.097626e+001 -1.009439e+000 2.908067e+000
-2.568265e+000 1.097626e+001 -1.009438e+000 2.908065e+000
-2.568263e+000 1.097626e+001 -1.009437e+000 2.908067e+000
-2.568262e+000 1.097626e+001 -1.009436e+000 2.908065e+000
-2.568261e+000 1.097625e+001 -1.009435e+000 2.908065e+000
-2.568260e+000 1.097625e+001 -1.009434e+000 2.908065e+000
-2.568259e+000 1.097625e+001 -1.009432e+000 2.908066e+000
-2.568258e+000 1.097625e+001 -1.009431e+000 2.908066e+000
-2.568257e+000 1.097625e+001 -1.009430e+000 2.908065e+000
-2.568256e+000 1.097625e+001 -1.009429e+000 2.908065e+000
-2.568255e+000 1.097625e+001 -1.009429e+000 2.908065e+000
-2.568254e+000 1.097625e+001 -1.009428e+000 2.908065e+000
-2.568254e+000 1.097625e+001 -1.009427e+000 2.908066e+000
-2.568252e+000 1.097625e+001 -1.009426e+000 2.908066e+000
-2.568252e+000 1.097625e+001 -1.009425e+000 2.908065e+000
-2.568251e+000 1.097625e+001 -1.009424e+000 2.908066e+000
-2.568250e+000 1.097625e+001 -1.009423e+000 2.908066e+000
-2.568249e+000 1.097625e+001 -1.009423e+000 2.908066e+000
-2.568248e+000 1.097625e+001 -1.009422e+000 2.908065e+000
-2.568247e+000 1.097625e+001 -1.009421e+000 2.908065e+000
-2.568246e+000 1.097625e+001 -1.009420e+000 2.908066e+000
-2.568246e+000 1.097624e+001 -1.009419e+000 2.908065e+000
-2.568245e+000 1.097624e+001 -1.009419e+000 2.908066e+000
-2.568244e+000 1.097624e+001 -1.009418e+000 2.908066e+000
-2.568243e+000 1.097624e+001 -1.009417e+000 2.908067e+000
-2.568243e+000 1.097624e+001 -1.009416e+000 2.908065e+000
-2.568242e+000 1.097624e+001 -1.009416e+000 2.908064e+000
-2.568241e+000 1.097624e+001 -1.009415e+000 2.908066e+000
-2.568241e+000 1.097624e+001 -1.009414e+000 2.908066e+000
-2.568240e+000 1.097624e+001 -1.009414e+000 2.908065e+000
-2.568239e+000 1.097624e+001 -1.009413e+000 2.908063e+000
-2.568238e+000 1.097624e+001 -1.009412e+000 2.908066e+000
-2.568238e+000 1.097624e+001 -1.009412e+000 2.908066e+000
-2.568237e+000 1.097624e+001 -1.009411e+000 2.908065e+000
-2.568237e+000 1.097624e+001 -1.009411e+000 2.908065e+000
-2.568236e+000 1.097624e+001 -1.009410e+000 2.908066e+000
-2.568235e+000 1.097624e+001 -1.009409e+000 2.908065e+000
-2.568235e+000 1.097624e+001 -1.009409e+000 2.908067e+000
-2.568235e+000 1.097624e+001 -1.009408e+000 2.908065e+000
-2.568234e+000 1.097624e+001 -1.009408e+000 2.908065e+000
-2.568234e+000 1.097624e+001 -1.009407e+000 2.908065e+000
-2.568233e+000 1.097624e+001 -1.009407e+000 2.908065e+000
-2.568233e+000 1.097624e+001 -1.009407e+000 2.908065e+000
-2.568233e+000 1.097624e+001 -1.009406e+000 2.908066e+000
-2.568232e+000 1.097624e+001 -1.009406e+000 2.908066e+000
-2.568232e+000 1.097624e+001 -1.009405e+000 2.908065e+000
-2.568231e+000 1.097624e+001 -1.009405e+000 2.908066e+000
-2.568231e+000 1.097624e+001 -1.009405e+000 2.908064e+000
-2.568230e+000 1.097624e+001 -1.009404e+000 2.908065e+000
-2.568230e+000 1.097624e+001 -1.009404e+000 2.908065e+000
-2.568230e+000 1.097623e+001 -1.009404e+000 2.908066e+000
-2.568229e+000 1.097623e+001 -1.009403e+000 2.908064e+000
-2.568229e+000 1.097623e+001 -1.009403e+000 2.908065e+000
-2.568229e+000 1.097623e+001 -1.009403e+000 2.908065e+000
-2.568228e+000 1.097623e+001 -1.009402e+000 2.908065e+000
-2.568228e+000 1.097623e+001 -1.009402e+000 2.908065e+000
-2.568228e+000 1.097623e+001 -1.009402e+000 2.908066e+000
-2.568227e+000 1.097623e+001 -1.009401e+000 2.908065e+000
-2.568227e+000 1.097623e+001 -1.009401e+000 2.908065e+000
-2.568227e+000 1.097623e+001 -1.009401e+000 2.908064e+000
-2.568226e+000 1.097623e+001 -1.009400e+000 2.908066e+000
-2.568226e+000 1.097623e+001 -1.009400e+000 2.908065e+000
-2.568226e+000 1.097623e+001 -1.009400e+000 2.908065e+000
-2.568225e+000 1.097623e+001 -1.009399e+000 2.908067e+000
-2.568225e+000 1.097623e+001 -1.009399e+000 2.908064e+000
-2.568225e+000 1.097623e+001 -1.009399e+000 2.908064e+000
-2.568225e+000 1.097623e+001 -1.009399e+000 2.908065e+000
-2.568224e+000 1.097623e+001 -1.009398e+000 2.908064e+000
-2.568224e+000 1.097623e+001 -1.009398e+000 2.908065e+000
-2.568224e+000 1.097623e+001 -1.009398e+000 2.908064e+000
-2.568224e+000 1.097623e+001 -1.009398e+000 2.908064e+000
-2.568223e+000 1.097623e+001 -1.009398e+000 2.908065e+000
-2.568223e+000 1.097623e+001 -1.009397e+000 2.908065e+000

steps = 356
